3,3
4,3
3,4
4,4
5,4
6,4
7,4
8,4
5,5
6,5
7,5
8,5
3,11
3,12
4,12
4,13
5,13
5,14
10,10
10,11
10,12
10,13
10,14
10,15
15,13
16,13
17,13
18,13
18,14
18,15
18,16
18,17
19,17
20,17
21,17
21,18
21,19
21,20
21,21
20,21
19,21
18,21
17,21
16,21
16,22
16,23
25,12
26,12
26,13
27,12
27,13
27,14
27,15
28,12
28,13
28,14
28,15
28,16
12,20
13,20
12,21
13,21
1,17
1,18
1,19
1,20
1,21
1,22
1,23
2,19
2,20
2,21
3,20
14,7
15,7
15,8
15,2
16,2
15,1
16,1
25,1
26,1
25,2
25,3
24,3
25,4
24,4
23,4
22,4
21,4
20,4
25,5
26,27
27,27
